tweet_id,retweet_count,favorite_count,user_count
832645525019123713,497,2792,9099509
832636094638288896,2612,15161,9099509
832397543355072512,2075,11438,9099509
832369877331693569,2997,16413,9099509
832273440279240704,2193,10863,9099133
832215909146226688,5837,0,9099509
832215726631055365,8746,0,9099509
832088576586297345,2,60,9099509
832040443403784192,8996,0,9099509
832032802820481025,4377,17067,9099509
831939777352105988,5762,22886,9099509
831926988323639298,34,324,9099509
831911600680497154,6094,26296,9099509
831670449226514432,1718,9972,9099509
831650051525054464,1821,6807,9099509
831552930092285952,2200,8591,9099509
831322785565769729,1469,8919,9099509
831315979191906304,1052,6272,9099509
831309418084069378,2313,11304,9099509
831262627380748289,1929,11369,9099509
830956169170665475,1407,7648,9099509
830583320585068544,15717,63578,9099509
830173239259324417,5341,0,9099509
830097400375152640,2759,9314,9099509
829878982036299777,4692,0,9099509
829861396166877184,1818,11721,9099509
829501995190984704,9959,30396,9099133
829449946868879360,1897,10042,9099509
829141528400556032,6899,23276,9099509
829011960981237760,15411,51087,9099509
828801551087042563,3222,0,9099509
828770345708580865,5507,24512,9099133
828708714936930305,10541,34860,9099509
828650029636317184,1264,9121,9099509
828409743546925057,1097,6115,9099509
828408677031882754,1212,7369,9099509
828381636999917570,2098,12069,9099509
828376505180889089,1006,7097,9099509
828372645993398273,2769,12079,9099509
828361771580813312,168,2100,9099133
828046555563323392,2710,11243,9099509
828011680017821696,2033,9941,9099509
827933404142436356,4925,19197,9099509
827653905312006145,2847,14862,9099509
827600520311402496,877,7175,9099509
827324948884643840,2857,15207,9099509
827199976799354881,2098,10167,9099509
826958653328592898,4692,20673,9099133
826848821049180160,9526,34623,9099509
826615380357632002,3756,0,9099509
826598799820865537,233,4929,9099509
826598365270007810,2215,9589,9099509
826476773533745153,3977,17627,9099509
826240494070030336,2454,12731,9099509
826204788643753985,866,4684,9099509
826115272272650244,2930,14982,9099509
825876512159186944,1756,10062,9099509
825829644528148480,2369,12240,9099509
825535076884762624,16668,54842,9099509
825147591692263424,4263,17557,9099509
825120256414846976,1181,0,9099509
825026590719483904,1181,5997,9099509
824796380199809024,5194,0,9099509
824775126675836928,3326,14318,9099509
824663926340194305,1673,10087,9099509
824325613288833024,10075,11359,9099509
824297048279236611,3640,14451,9099509
824025158776213504,572,4655,9099509
823939628516474880,2578,10228,9099509
823719002937630720,10547,0,9099509
823699002998870016,2375,13443,9099509
823581115634085888,2484,12475,9099509
823333489516937216,21,671,9099509
823322678127919110,3792,15078,9099509
823269594223824897,9369,0,9099509
